"constant_id","domain","constant_or_rule","paper_disclosure","sb3_or_gymnasium_standard_default","legacy_candidate_read_only","recommended_study_value","sensitivity_risk","status","approval_note"
"MC-020","ppo","GAE lambda","not numerically disclosed in Yun","0.95 in Stable-Baselines3 2.7.1 documentation","0.95","0.95 with sensitivity 0.90 and 0.99","high_bias_variance_risk","recommended_pending_human_approval","Library default is not a Yun value."
"MC-021","ppo","clip epsilon","not numerically disclosed in Yun; PPO paper gives 0.2 as an example","0.2 in Stable-Baselines3 2.7.1 documentation","0.2","0.2 with sensitivity 0.1 and 0.3","medium_update_stability_risk","recommended_pending_human_approval","Do not attribute 0.2 to Yun."
"MC-022","ppo","rollout length","not disclosed","2048 steps per environment in Stable-Baselines3 2.7.1 documentation","2048","2048 with a divisibility and episode-boundary audit","high_temporal_correlation_risk","recommended_pending_human_approval","10 s actions make this 20480 s of one-environment experience per rollout."
"MC-023","ppo","minibatch size","not disclosed","64 in Stable-Baselines3 2.7.1 documentation","64","64 with sensitivity 128 and 256 if rollout divisibility holds","medium_gradient_variance_risk","recommended_pending_human_approval","Library default is not a Yun value."
"MC-024","ppo","optimizer epochs per update","Yun reports Training epoch 10^6 but not PPO minibatch epochs","10 in Stable-Baselines3 2.7.1 documentation","10","10 with sensitivity 5 and early KL diagnostics","medium_overfit_per_rollout_risk","recommended_pending_human_approval","Do not reinterpret 10^6 as n_epochs."
"MC-025","ppo","value coefficient","Yun reports 0.1","0.5 in Stable-Baselines3 2.7.1 documentation","0.1 in paper-oriented legacy notes","0.1 for a paper-style wrapper; 0.5 only in a separately labeled SB3-default scenario","high_objective_mismatch_risk","recommended_pending_human_approval","Choice depends on whether Stage III uses paper-style auxiliary losses or unmodified SB3."
"MC-026","ppo","entropy coefficient","Yun defines policy entropy but does not report a coefficient in Table B.5","0.0 in Stable-Baselines3 2.7.1 documentation","0.0","0.0 primary with sensitivity 0.001","medium_exploration_risk","recommended_pending_human_approval","Do not infer inclusion from the entropy definition alone."
"MC-027","ppo","maximum gradient norm","not disclosed","0.5 in Stable-Baselines3 2.7.1 documentation","0.5","0.5","medium_training_stability_risk","recommended_pending_human_approval","Library default only."
"MC-028","ppo","network activations and precise layer semantics","Table B.5 gives dimensions but no activations and incompletely describes layers","SB3 MlpPolicy defaults depend on versioned policy implementation","Tanh and separate 64x64 actor/critic","paper architecture adapter with activation chosen only after a diagram/table reconciliation review","high_architecture_fidelity_risk","recommended_pending_human_approval","No network is instantiated in Phase 7E."
"MC-029","ppo","optimizer beta epsilon and schedule","Adam and learning rate 0.001 disclosed; remaining settings absent","PyTorch/SB3 version-dependent Adam defaults and constant schedule unless configured","framework defaults","constant 0.001 only in paper-style scenario; record exact locked Adam defaults later","medium_reproducibility_risk","recommended_pending_human_approval","Dependency lock must precede execution."
"MC-030","ppo","total training budget interpretation","Table B.5 shows Training epoch 10^6 without mapping to steps, episodes, or updates","total_timesteps is user-supplied","102400 or 1024000 legacy candidates prohibited as authority","do not set budget until Stage III timing benchmark; retain 10^6 only as unresolved paper label","critical_compute_and_comparison_risk","recommended_pending_human_approval","Requires a separate human-approved budget."
"MC-031","observation","BIS observation-age clip maximum","Protocol v1.3.1 fixes structure but not numeric cap","not_applicable","none approved","max(P0 cap,P1 cap)=30 s as a predeclared common cap candidate","medium_observation_scale_risk","recommended_pending_human_approval","Human approval remains required before adapter implementation."
"MC-032","observation","sex tensor encoding","Protocol v1.3.1 leaves physical encoding pending","not_applicable","male indicator","one binary channel with an explicit category dictionary and rejection of unknown values","medium_schema_and_generalization_risk","recommended_pending_human_approval","Conceptual S0/S1 counts remain 34/42 until physical schema approval."
"MC-033","ppo","random seeds","not disclosed for Yun training/evaluation","seed is user-supplied and defaults to None","7,42,84 legacy study seeds","retain already planned independent seeds 7,42,84 only after split and implementation approval","high_variance_and_selection_risk","recommended_pending_human_approval","No legacy best seed or metric may be used."
"MC-034","ppo","SB3 dependency version","not applicable to Yun paper","current documentation inspected at 2.7.1; no version is installed or locked","unavailable in current environment","select and lock a tested release only after Stage II contract passes","high_api_and_reproducibility_risk","recommended_pending_human_approval","No dependency change is authorized in Phase 7E."
