"evidence_id","domain","item","value_or_equation","unit","classification","source_id","source_location","conflict_or_gap","implementation_status","notes"
"CONST-H04","pkpd_parameter","h4","53","year","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Age center."
"CONST-H05","pkpd_parameter","h5","238","L","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Schnider V3."
"CONST-H06","pkpd_parameter","h6","1.89","L/min","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Cl1 intercept."
"CONST-H07","pkpd_parameter","h7","0.0456","L/min/kg","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Weight coefficient."
"CONST-H08","pkpd_parameter","h8","77","kg","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Weight center."
"CONST-H09","pkpd_parameter","h9","0.0681","L/min/kg","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","LBM coefficient with subtraction in Cl1."
"CONST-H10","pkpd_parameter","h10","59","kg","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","LBM center."
"CONST-H11","pkpd_parameter","h11","0.0264","L/min/cm","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Height coefficient."
"CONST-H12","pkpd_parameter","h12","177","cm","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Height center."
"CONST-H13","pkpd_parameter","h13","1.29","L/min","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Cl2 intercept."
"CONST-H14","pkpd_parameter","h14","0.024","L/min/year","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Cl2 age coefficient."
"CONST-H15","pkpd_parameter","h15","53","year","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Age center."
"CONST-H16","pkpd_parameter","h16","0.836","L/min","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Cl3."
"CONST-H17","pkpd_parameter","h17","0.456","1/min","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Propofol ke0."
"CONST-F01","pkpd_parameter","f1","5.1","L","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Minto V1 intercept."
"CONST-F02","pkpd_parameter","f2","0.0201","L/year","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","V1 age coefficient."
"CONST-F03","pkpd_parameter","f3","0.072","L/kg","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","V1 LBM coefficient."
"CONST-F04","pkpd_parameter","f4","9.82","L","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","V2 intercept."
"CONST-F05","pkpd_parameter","f5","0.0811","L/year","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","V2 age coefficient."
"CONST-F06","pkpd_parameter","f6","0.108","L/kg","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","V2 LBM coefficient."
"CONST-F07","pkpd_parameter","f7","5.42","L","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","V3."
"CONST-F08","pkpd_parameter","f8","2.6","L/min","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Cl1 intercept."
"CONST-F09","pkpd_parameter","f9","0.0162","L/min/year","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Cl1 age coefficient."
"CONST-F10","pkpd_parameter","f10","0.0191","L/min/kg","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Cl1 LBM coefficient."
"CONST-F11","pkpd_parameter","f11","2.05","L/min","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Cl2 intercept."
"CONST-F12","pkpd_parameter","f12","0.030 in Yun; 0.0301 in Minto","L/min/year","conflicting","yun_2023;minto_1997","Table A.4 PDF p.9; cited Minto model","Published parameterizations differ","recommended_pending_human_approval","Sensitivity comparison is required before selection."
"CONST-F13","pkpd_parameter","f13","0.076","L/min","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Cl3 intercept."
"CONST-F14","pkpd_parameter","f14","0.00113","L/min/year","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Cl3 age coefficient."
"CONST-F15","pkpd_parameter","f15","0.595","1/min","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","ke0 intercept."
"CONST-F16","pkpd_parameter","f16","0.007","1/min/year","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","ke0 age coefficient."
"CONST-F17","pkpd_parameter","f17","40","year","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","Age center."
"CONST-F18","pkpd_parameter","f18","55","kg","explicit_in_primary_paper","yun_2023","Table A.4 PDF p.9","none","specified_not_implemented","LBM center; resolves the likely h18 typography only after approval."
"ENV-001","environment","target_bis","50","BIS","explicit_in_primary_paper","yun_2023","Section 4.1 PDF p.4; Section 5 PDF p.6","Paper also evaluates changing targets","specified_not_implemented","Protocol 2x2 comparison retains a common target contract."
"ENV-002","environment","safe_bis_range","40 to 60 inclusive as typical range","BIS","explicit_in_primary_paper","yun_2023","text following Eq. 32 PDF p.4","none","specified_not_implemented","Paper calls this a typical safe range."
"ENV-003","environment","state_variables","smoothed BIS history; BIS slope; BIS target error; propofol history; recent propofol cumulative dose; remifentanil history; recent remifentanil cumulative dose; age; gender; weight; height","mixed","explicit_in_primary_paper","yun_2023","State Definition and Eqs. 36-39 PDF p.5","History length and LOWESS settings are not disclosed","specified_with_constants_pending","Protocol v1.3.1 S0/S1 remains the confirmatory observation design; this row records Yun's architecture evidence."
"ENV-004","environment","action_definition","continuous propofol infusion control selected by the policy","paper alternates rate and 10-second dose","explicit_in_primary_paper","yun_2023","Action Definition PDF p.5","Physical unit wording is inconsistent","specified_with_unit_pending","Remifentanil is exogenous and not an agent action."
"ENV-005","environment","action_range","0 <= action <= 27.7; derived from maximum 500 mL/h and 27.8 mg over 10 s","mg per 10 s candidate","conflicting","yun_2023","Action Definition PDF p.5","Paper calls action an infusion rate but derives the bound as amount over 10 seconds","recommended_pending_human_approval","Future action adapter must name exactly one physical unit."
"ENV-006","environment","action_interval","10","seconds","explicit_in_primary_paper","yun_2023","Action Definition PDF p.5; Table 3 PDF p.8","Paper additionally evaluates 1- and 5-second intervals","specified_not_implemented","The confirmatory design currently specifies 10 seconds."
"ENV-007","environment","remifentanil_history_sampling","sample a prior surgical remifentanil history from cases with target BIS 50 and select a different random history/value per training episode","history/schedule","explicit_in_primary_paper","yun_2023","Section 4 PDF p.4; Algorithm 1 lines 5-7 PDF p.6","Exact case universe and sampling distribution are not disclosed","specified_with_sampling_pending","No legacy remifentanil schedule may be reused."
"ENV-008","environment","episode_initialization","agent and simulator are initialized; replay buffer and remifentanil history are reset per episode","not disclosed","missing","yun_2023","Algorithm 1 lines 1-8 PDF p.6","Initial compartment amounts, Ce, BIS history, covariates, and warm-up rule are absent","recommended_pending_human_approval","No reset state is inferred."
"ENV-009","environment","transition_order","observe state; Gaussian policy samples propofol action; infuse propofol in simulator; obtain next state and reward; store transition; update after episode","ordered operations","explicit_in_primary_paper","yun_2023","Algorithm 1 and explanatory bullets PDF p.6","Whether reward is computed before or after all observation noise transforms needs implementation-level confirmation","specified_not_implemented","Future Gymnasium step must make the order executable and testable."
"ENV-010","environment","reward_equation","r(s_t,a_t)=1/(abs(BIS_target-BIS(t+1))+alpha)","dimensionless","explicit_in_primary_paper","yun_2023","Eq. 40 PDF p.5","alpha is named but not numerically disclosed","specified_with_constant_pending","No additional action or safety term is authorized here."
"ENV-011","environment","termination_condition","not disclosed","none","missing","yun_2023","Algorithm 1 PDF p.6","No physiological terminal state or canonical episode horizon is specified","recommended_pending_human_approval","Gymnasium terminated and truncated semantics require explicit design."
"ENV-012","environment","evaluation_horizon","10000 s target-change and concentration examples; 20000 s long-horizon experiment","seconds","explicit_in_primary_paper","yun_2023","Sections 5.2-5.6 PDF pp.8-9","Multiple scenarios exist; no single canonical evaluation horizon is selected","recommended_pending_human_approval","Counts are evidence only and not a Phase 7E evaluation."
"PPO-001","ppo","policy_distribution","Gaussian N(mu,sigma^2) generated by the policy network","continuous action","explicit_in_primary_paper","yun_2023","Algorithm 1 lines 9-10 PDF p.6","Squashing and boundary handling are not disclosed","specified_with_action_adapter_pending","Do not assume SB3 clipping or tanh without approval."
"PPO-002","ppo","ppo_clipped_loss","mean(min(r_t(theta)*A_t,clip(r_t(theta),1-epsilon,1+epsilon)*A_t))","objective","explicit_in_primary_paper","yun_2023;ppo_2017","Eqs. 41-42 PDF p.5; PPO Eq. 7","Yun does not disclose epsilon","specified_with_constant_pending","The directly cited PPO source suggests epsilon=0.2 as an example, not a Yun study value."
"PPO-003","ppo","value_loss","squared error between value estimate and return target","objective","explicit_in_primary_paper","yun_2023;ppo_2017","Eq. 43 PDF p.6; PPO Eq. 9","Return-target construction is not fully disclosed in Yun","specified_with_constant_pending","Future SB3 use delegates the standard implementation after approval."
"PPO-004","ppo","gae_equation","A_t=sum_{l>=0}(gamma*lambda)^l*delta_{t+l}; delta_t=r_t+gamma*V(s_{t+1})-V(s_t)","advantage","explicit_in_cited_primary_source","gae_2015;yun_2023","GAE algorithm/equation; Yun Eqs. 46-47 PDF p.6","Yun names gamma and lambda but gives no values","specified_with_constants_pending","Equation can be implemented by SB3 rather than rewritten."
"PPO-005","ppo","l2_term","beta3*||theta||_2","loss","explicit_in_primary_paper","yun_2023","Eq. 41 PDF p.5; Table B.5 PDF p.9","Scope of theta across networks is not fully described","specified_with_scope_pending","Reported L2 regularizer coefficient is 0.001."
"PPO-006","ppo","loss_coefficients","PPO=1; value=0.1; prediction=0.1; L2=0.001","dimensionless","explicit_in_primary_paper","yun_2023","Table B.5 PDF p.9","SB3 does not natively include Yun's prediction head loss","specified_not_implemented","The 2x2 study does not automatically adopt the auxiliary prediction head."
"PPO-007","ppo","network_architecture","LSTM: cell dimension 3; covariate DNN 1; concatenate DNN 128; policy DNN 1; value DNN 128. LSTM+Pred adds prediction DNN 128 then 1. DNN baseline uses states DNN 128.","reported dimensions","explicit_in_primary_paper","yun_2023","Figure 4 PDF p.5; Table B.5 PDF p.9","Layer count versus width semantics are not fully explained and activations are absent","specified_with_architecture_pending","Record table labels verbatim; do not invent hidden layers."
"PPO-008","ppo","learning_rate","0.001","optimizer step size","explicit_in_primary_paper","yun_2023","Table B.5 PDF p.9","Schedule and optimizer epsilon are not disclosed","specified_with_optimizer_details_pending","This is a Yun value, distinct from current SB3 default 0.0003."
"PPO-009","ppo","optimizer","Adam","optimizer","explicit_in_primary_paper","yun_2023","Table B.5 PDF p.9","Adam beta and epsilon settings are not disclosed","specified_with_optimizer_details_pending","No dependency is installed in Phase 7E."
"PPO-010","ppo","training_epochs_or_budget","10^6 shown as Training epoch","reported epoch count","explicit_in_primary_paper","yun_2023","Table B.5 PDF p.9","Meaning relative to environment steps, episodes, or optimizer epochs is not defined","recommended_pending_human_approval","Do not translate 10^6 into SB3 total_timesteps automatically."
"PPO-011","ppo","gamma","not disclosed in Yun study","dimensionless","missing","yun_2023","Eqs. 46-47 PDF p.6","Symbol appears without a numerical value","recommended_pending_human_approval","Current SB3 default is only a candidate."
"PPO-012","ppo","gae_lambda","not disclosed in Yun study","dimensionless","missing","yun_2023","Eqs. 46-47 PDF p.6","Symbol appears without a numerical value","recommended_pending_human_approval","Current SB3 default is only a candidate."
"PPO-013","ppo","clip_epsilon","not disclosed in Yun study","dimensionless","missing","yun_2023","Eq. 42 PDF p.5","PPO primary paper gives 0.2 as an example","recommended_pending_human_approval","Do not label a library default as a Yun value."
"PPO-014","ppo","batch_size","not disclosed","transitions","missing","yun_2023","Algorithm 1 and Table B.5","No minibatch size is reported","recommended_pending_human_approval","Current SB3 default is only a candidate."
"PPO-015","ppo","rollout_length","not disclosed","steps per environment per update","missing","yun_2023","Algorithm 1 and Table B.5","Training horizon variables are symbolic","recommended_pending_human_approval","Current SB3 default is only a candidate."
"PPO-016","ppo","optimizer_epochs_per_update","not disclosed","epochs","missing","yun_2023","Algorithm 1 and Table B.5","Training epoch 10^6 is not the PPO minibatch epoch count","recommended_pending_human_approval","Current SB3 default is only a candidate."
