phase6b_scenario,candidate_id,minimum_usable_windows,scenario_pass_but_zero_usable_window,scenario_pass_but_below_minimum,scenario_fail_but_meets_minimum,both_pass,both_fail,scenario_failure_reasons_among_fail_but_meets_minimum,bis_10_100_fraction_reason_but_meets_minimum,selected
permissive,sqi_not_required__bis30s__drug30s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug30s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug30s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug30s,300,0,83,1,2381,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug30s,600,0,759,1,1705,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug60s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug60s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug60s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug60s,300,0,83,1,2381,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug60s,600,0,759,1,1705,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug120s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug120s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug120s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug120s,300,0,83,1,2381,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug120s,600,0,755,1,1709,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug300s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug300s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug300s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug300s,300,0,82,1,2382,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug300s,600,0,751,1,1713,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug600s,30,0,0,2,2464,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug600s,60,0,0,1,2464,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug600s,120,0,2,1,2462,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug600s,300,0,81,1,2383,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_not_required__bis30s__drug600s,600,0,748,1,1716,5,"{""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis10s__drug30s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis10s__drug30s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis10s__drug30s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis10s__drug30s,300,1,149,0,2315,6,{},0,false
permissive,sqi_ge_20__bis10s__drug30s,600,1,865,0,1599,6,{},0,false
permissive,sqi_ge_20__bis10s__drug60s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis10s__drug60s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis10s__drug60s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis10s__drug60s,300,1,148,0,2316,6,{},0,false
permissive,sqi_ge_20__bis10s__drug60s,600,1,865,0,1599,6,{},0,false
permissive,sqi_ge_20__bis10s__drug120s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis10s__drug120s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis10s__drug120s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis10s__drug120s,300,1,148,0,2316,6,{},0,false
permissive,sqi_ge_20__bis10s__drug120s,600,1,864,0,1600,6,{},0,false
permissive,sqi_ge_20__bis10s__drug300s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis10s__drug300s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis10s__drug300s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis10s__drug300s,300,1,148,0,2316,6,{},0,false
permissive,sqi_ge_20__bis10s__drug300s,600,1,863,0,1601,6,{},0,false
permissive,sqi_ge_20__bis10s__drug600s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis10s__drug600s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis10s__drug600s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis10s__drug600s,300,1,148,0,2316,6,{},0,false
permissive,sqi_ge_20__bis10s__drug600s,600,1,863,0,1601,6,{},0,false
permissive,sqi_ge_20__bis20s__drug30s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis20s__drug30s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis20s__drug30s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis20s__drug30s,300,1,142,0,2322,6,{},0,false
permissive,sqi_ge_20__bis20s__drug30s,600,1,853,0,1611,6,{},0,false
permissive,sqi_ge_20__bis20s__drug60s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis20s__drug60s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis20s__drug60s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis20s__drug60s,300,1,142,0,2322,6,{},0,false
permissive,sqi_ge_20__bis20s__drug60s,600,1,852,0,1612,6,{},0,false
permissive,sqi_ge_20__bis20s__drug120s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis20s__drug120s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis20s__drug120s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis20s__drug120s,300,1,142,0,2322,6,{},0,false
permissive,sqi_ge_20__bis20s__drug120s,600,1,852,0,1612,6,{},0,false
permissive,sqi_ge_20__bis20s__drug300s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis20s__drug300s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis20s__drug300s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis20s__drug300s,300,1,142,0,2322,6,{},0,false
permissive,sqi_ge_20__bis20s__drug300s,600,1,851,0,1613,6,{},0,false
permissive,sqi_ge_20__bis20s__drug600s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis20s__drug600s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis20s__drug600s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis20s__drug600s,300,1,142,0,2322,6,{},0,false
permissive,sqi_ge_20__bis20s__drug600s,600,1,851,0,1613,6,{},0,false
permissive,sqi_ge_20__bis30s__drug30s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis30s__drug30s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis30s__drug30s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis30s__drug30s,300,1,139,0,2325,6,{},0,false
permissive,sqi_ge_20__bis30s__drug30s,600,1,845,0,1619,6,{},0,false
permissive,sqi_ge_20__bis30s__drug60s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis30s__drug60s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis30s__drug60s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis30s__drug60s,300,1,139,0,2325,6,{},0,false
permissive,sqi_ge_20__bis30s__drug60s,600,1,844,0,1620,6,{},0,false
permissive,sqi_ge_20__bis30s__drug120s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis30s__drug120s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis30s__drug120s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis30s__drug120s,300,1,138,0,2326,6,{},0,false
permissive,sqi_ge_20__bis30s__drug120s,600,1,844,0,1620,6,{},0,false
permissive,sqi_ge_20__bis30s__drug300s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis30s__drug300s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis30s__drug300s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis30s__drug300s,300,1,138,0,2326,6,{},0,false
permissive,sqi_ge_20__bis30s__drug300s,600,1,843,0,1621,6,{},0,false
permissive,sqi_ge_20__bis30s__drug600s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_20__bis30s__drug600s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_20__bis30s__drug600s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_20__bis30s__drug600s,300,1,138,0,2326,6,{},0,false
permissive,sqi_ge_20__bis30s__drug600s,600,1,842,0,1622,6,{},0,false
permissive,sqi_ge_50__bis10s__drug30s,30,1,1,1,2463,5,"{""common_span_lt_10m"":1}",0,false
permissive,sqi_ge_50__bis10s__drug30s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis10s__drug30s,120,1,6,0,2458,6,{},0,false
permissive,sqi_ge_50__bis10s__drug30s,300,1,205,0,2259,6,{},0,false
permissive,sqi_ge_50__bis10s__drug30s,600,1,975,0,1489,6,{},0,false
permissive,sqi_ge_50__bis10s__drug60s,30,1,1,1,2463,5,"{""common_span_lt_10m"":1}",0,false
permissive,sqi_ge_50__bis10s__drug60s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis10s__drug60s,120,1,6,0,2458,6,{},0,false
permissive,sqi_ge_50__bis10s__drug60s,300,1,204,0,2260,6,{},0,false
permissive,sqi_ge_50__bis10s__drug60s,600,1,975,0,1489,6,{},0,false
permissive,sqi_ge_50__bis10s__drug120s,30,1,1,1,2463,5,"{""common_span_lt_10m"":1}",0,false
permissive,sqi_ge_50__bis10s__drug120s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis10s__drug120s,120,1,6,0,2458,6,{},0,false
permissive,sqi_ge_50__bis10s__drug120s,300,1,202,0,2262,6,{},0,false
permissive,sqi_ge_50__bis10s__drug120s,600,1,975,0,1489,6,{},0,false
permissive,sqi_ge_50__bis10s__drug300s,30,1,1,1,2463,5,"{""common_span_lt_10m"":1}",0,false
permissive,sqi_ge_50__bis10s__drug300s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis10s__drug300s,120,1,6,0,2458,6,{},0,false
permissive,sqi_ge_50__bis10s__drug300s,300,1,202,0,2262,6,{},0,false
permissive,sqi_ge_50__bis10s__drug300s,600,1,974,0,1490,6,{},0,false
permissive,sqi_ge_50__bis10s__drug600s,30,1,1,1,2463,5,"{""common_span_lt_10m"":1}",0,false
permissive,sqi_ge_50__bis10s__drug600s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis10s__drug600s,120,1,6,0,2458,6,{},0,false
permissive,sqi_ge_50__bis10s__drug600s,300,1,202,0,2262,6,{},0,false
permissive,sqi_ge_50__bis10s__drug600s,600,1,973,0,1491,6,{},0,false
permissive,sqi_ge_50__bis20s__drug30s,30,1,1,1,2463,5,"{""common_span_lt_10m"":1}",0,false
permissive,sqi_ge_50__bis20s__drug30s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis20s__drug30s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_50__bis20s__drug30s,300,1,179,0,2285,6,{},0,false
permissive,sqi_ge_50__bis20s__drug30s,600,1,936,0,1528,6,{},0,false
permissive,sqi_ge_50__bis20s__drug60s,30,1,1,1,2463,5,"{""common_span_lt_10m"":1}",0,false
permissive,sqi_ge_50__bis20s__drug60s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis20s__drug60s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_50__bis20s__drug60s,300,1,178,0,2286,6,{},0,false
permissive,sqi_ge_50__bis20s__drug60s,600,1,936,0,1528,6,{},0,false
permissive,sqi_ge_50__bis20s__drug120s,30,1,1,1,2463,5,"{""common_span_lt_10m"":1}",0,false
permissive,sqi_ge_50__bis20s__drug120s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis20s__drug120s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_50__bis20s__drug120s,300,1,177,0,2287,6,{},0,false
permissive,sqi_ge_50__bis20s__drug120s,600,1,936,0,1528,6,{},0,false
permissive,sqi_ge_50__bis20s__drug300s,30,1,1,1,2463,5,"{""common_span_lt_10m"":1}",0,false
permissive,sqi_ge_50__bis20s__drug300s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis20s__drug300s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_50__bis20s__drug300s,300,1,177,0,2287,6,{},0,false
permissive,sqi_ge_50__bis20s__drug300s,600,1,936,0,1528,6,{},0,false
permissive,sqi_ge_50__bis20s__drug600s,30,1,1,1,2463,5,"{""common_span_lt_10m"":1}",0,false
permissive,sqi_ge_50__bis20s__drug600s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis20s__drug600s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_50__bis20s__drug600s,300,1,177,0,2287,6,{},0,false
permissive,sqi_ge_50__bis20s__drug600s,600,1,936,0,1528,6,{},0,false
permissive,sqi_ge_50__bis30s__drug30s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_50__bis30s__drug30s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis30s__drug30s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_50__bis30s__drug30s,300,1,165,0,2299,6,{},0,false
permissive,sqi_ge_50__bis30s__drug30s,600,1,909,0,1555,6,{},0,false
permissive,sqi_ge_50__bis30s__drug60s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_50__bis30s__drug60s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis30s__drug60s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_50__bis30s__drug60s,300,1,165,0,2299,6,{},0,false
permissive,sqi_ge_50__bis30s__drug60s,600,1,909,0,1555,6,{},0,false
permissive,sqi_ge_50__bis30s__drug120s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_50__bis30s__drug120s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis30s__drug120s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_50__bis30s__drug120s,300,1,165,0,2299,6,{},0,false
permissive,sqi_ge_50__bis30s__drug120s,600,1,909,0,1555,6,{},0,false
permissive,sqi_ge_50__bis30s__drug300s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_50__bis30s__drug300s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis30s__drug300s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_50__bis30s__drug300s,300,1,165,0,2299,6,{},0,false
permissive,sqi_ge_50__bis30s__drug300s,600,1,908,0,1556,6,{},0,false
permissive,sqi_ge_50__bis30s__drug600s,30,1,1,2,2463,4,"{""common_span_lt_10m"":1,""propofol_positive_count_lt_1"":1,""remifentanil_positive_count_lt_1"":1}",0,false
permissive,sqi_ge_50__bis30s__drug600s,60,1,2,0,2462,6,{},0,false
permissive,sqi_ge_50__bis30s__drug600s,120,1,4,0,2460,6,{},0,false
permissive,sqi_ge_50__bis30s__drug600s,300,1,165,0,2299,6,{},0,false
permissive,sqi_ge_50__bis30s__drug600s,600,1,908,0,1556,6,{},0,false
