requirement,implemented file,relevant line or section,automated test,status,notes
"Downloads are resumable and checksums are verified before skipping","src/vitaldb_state_selection/data/downloader.py","_complete_and_verified","DownloaderTests.test_corrupt_completed_artifact_is_not_silently_skipped",implemented,"Corrupt completed artifacts consume a new bounded attempt"
"Manifest records are validated against schemas at runtime","src/vitaldb_state_selection/provenance/manifests.py; schemas/eligibility_manifest.schema.json; schemas/download_manifest.schema.json","validate_records; atomic CSV read/write","EligibilityAuditTests.test_manifest_round_trip_is_schema_validated",implemented,"Cross-record completeness is enforced separately"
"Synthetic tests cover resume failure logging duplicates and missing cases","tests/test_audit_framework.py; tests/test_downloader.py; tests/test_first_n_guard.py","EligibilityAuditTests; DownloaderTests; FirstNGuardTests","EligibilityAuditTests.test_source_query_failure_still_accounts_for_every_case",implemented,"Tests do not use legacy metrics or data artifacts"
"Metadata dry run samples 25 cases randomly with a fixed seed","scripts/run_engineering_dry_run.py; data/manifests/engineering_dry_run_seed_20260719/dry_run_manifest.csv; data/manifests/engineering_dry_run_seed_20260719/dry_run_summary.json","DRY_RUN_SEED and committed sample artifacts","DryRunArtifactTests.test_summary_is_fixed_random_engineering_only",implemented,"Universe was exactly 1 through 6388 and the sample is not first-25"
"Random 25-case signal dry run completes with checksums","data/manifests/engineering_dry_run_seed_20260719/download_manifest.csv; data/manifests/engineering_dry_run_seed_20260719/download_failures.jsonl","25 download rows with 12 complete and 13 explicit failures","DryRunArtifactTests.test_all_25_signal_outcomes_and_failures_are_preserved",implemented,"All 12 downloaded cases have checksums; missing exact-track cases were not silently excluded"
"Dry-run runtime storage and failure rate are recorded","docs/engineering_dry_run_report.md; data/manifests/engineering_dry_run_seed_20260719/dry_run_summary.json","Runtime and storage observations; summary metrics","DryRunArtifactTests.test_committed_artifact_checksums_match",implemented,"No full-production estimate is claimed because candidate count and units are pending"
"Dry-run output is labeled engineering-only and not a scientific result","README.md; docs/engineering_dry_run_report.md; data/manifests/engineering_dry_run_seed_20260719/dry_run_summary.json","Interpretation boundary and dry_run_label","DryRunArtifactTests.test_summary_is_fixed_random_engineering_only",implemented,"All later research execution flags remain false"
"Phase 5A records endpoint timestamps versions and source checksums","data/manifests/metadata_audit_source_snapshot.json; data/manifests/metadata_audit_artifact_checksums.json","Source endpoints configuration checksums and artifact inventory","FullMetadataAuditArtifactTests.test_source_snapshots_and_scope_are_phase5a_only",implemented,"Both metadata endpoints completed and exact response SHA-256 values are recorded"
"Phase 5A API source-row and manifest failures remain explicit","scripts/run_metadata_audit.py; src/vitaldb_state_selection/cohort/metadata_audit.py; data/manifests/metadata_audit_failures.jsonl","Endpoint events source-row preparation and manifest-row failure export","FullMetadataAuditTests.test_source_preparation_preserves_malformed_and_duplicate_track_events",implemented,"The actual Phase 5A failure log is present and empty because no API parsing missing-row or duplicate-row failure occurred"
"Unapproved track names are reported but never auto-approved","configs/track_aliases.yaml; data/manifests/unapproved_alias_candidates.csv; docs/full_metadata_track_inventory_audit_report.md","Three active exact names and 193 pending names","FullMetadataAuditArtifactTests.test_unapproved_names_are_all_pending_and_never_auto_approved",implemented,"Frequency is descriptive only and no candidate is assigned a concept or unit"
"Phase 5A reports metadata missingness and exact track combinations outcome-blind","data/manifests/metadata_audit_summary.json; docs/full_metadata_track_inventory_audit_report.md","Metadata missingness and approved exact-track combinations","FullMetadataAuditArtifactTests.test_summary_recomputes_from_the_full_manifest",implemented,"No BIS outcome distribution model result or threshold was used"
"Phase 5A does not access legacy IDs or execute downstream research","data/manifests/metadata_audit_source_snapshot.json; data/manifests/metadata_audit_summary.json","Scope and prohibited_execution","FullMetadataAuditArtifactTests.test_source_snapshots_and_scope_are_phase5a_only",implemented,"Legacy overlap and every downstream execution flag remain false or pending"
"Final signal-quality thresholds are chosen by human review","configs/eligibility_audit.yaml","quality_thresholds","",pending,"Deliberately cannot be automated before outcome-blind missingness review"
"Final eligible cohort freeze is not performed","README.md; PHASE_STATUS.md","Current scope; Full cohort and later research","GovernanceTests.test_readme_scope_is_phase_limited",blocked_by_protocol,"Non-execution is verified only for the present workspace state"
"Train validation test split and test access are not performed","README.md","Current scope","GovernanceTests.test_readme_scope_is_phase_limited",blocked_by_protocol,"No split implementation exists in the repository"
"Phase 5A performs no full signal download","README.md; data/manifests/metadata_audit_source_snapshot.json","Current scope; Phase 5A endpoint scope","FullMetadataAuditArtifactTests.test_source_snapshots_and_scope_are_phase5a_only",implemented,"Phase 5A queried only /cases and /trks; later Phase 5C and human-approved Phase 6A acquisitions are separately bounded"
"Force push history rewrite and modification of the legacy repository are prohibited","PHASE_STATUS.md","Phase gate policy","",pending,"Operational conduct is not honestly provable by a repository unit test"
"Phase 5B reports anesthesia operation emergency age adult and ASA descriptors for all 6388 cases","data/manifests/eligibility_decision_support_summary.json; docs/decision_support_report.md","full_manifest_descriptive; Full 6,388-case clinical descriptors","EligibilityDecisionSupportArtifactTests.test_full_manifest_descriptors_recompute_without_outcomes",implemented,"The test recomputes source-value frequencies age range and ASA missingness from the complete Phase 5A manifest without reading outcomes"
"Phase 5B semantic review is limited to requested research-relevant names","src/vitaldb_state_selection/cohort/decision_support.py; data/manifests/research_relevant_unapproved_tracks.csv","RELEVANT_TRACK_SPECS; narrow track review","EligibilityDecisionSupportArtifactTests.test_relevant_track_review_is_narrow_pending_and_unmerged",implemented,"Exactly 21 names are reviewed; the other 172 Phase 5A unapproved names are not semantically classified"
"The 3289 exact-primary cases have the requested descriptive crosstabs and joint counts","data/manifests/eligibility_decision_support_summary.json; data/manifests/research_relevant_track_presence.csv","exact_primary_subset","EligibilityDecisionSupportArtifactTests.test_exact_primary_subset_and_requested_crosstabs_recompute",implemented,"The test independently joins full presence rows to the Phase 5A manifest and checks all requested presence dimensions and combination totals"
"Official RATE label and unit evidence is recorded without final unit approval or RFTN20 RFTN50 merging","src/vitaldb_state_selection/cohort/decision_support.py; data/manifests/eligibility_decision_support_summary.json; configs/track_aliases.yaml","RATE_DOCUMENTATION; rate_and_label_primary_source_review; unit_status","EligibilityDecisionSupportArtifactTests.test_rate_evidence_does_not_change_alias_configuration",implemented,"The automated test verifies the recorded evidence and unchanged pending status; it does not claim to automate the human assessment of the external primary source"
"Eligibility scenarios are compared descriptively and no rule is selected","data/manifests/eligibility_decision_support_summary.json; docs/decision_support_report.md","eligibility_scenarios; Eligibility scenarios — comparison only","EligibilityDecisionSupportArtifactTests.test_scenarios_are_unselected_and_exclusions_balance",implemented,"Sequential exclusion counts balance to 6388 while selected_scenario remains null"
"Phase 5B rechecks only track metadata with source checksum and no raw signal or legacy ID access","data/manifests/eligibility_decision_support_source_snapshot.json; data/manifests/eligibility_decision_support_failures.jsonl","endpoint; scope; prohibited_execution","EligibilityDecisionSupportArtifactTests.test_source_snapshot_is_metadata_only_and_matches_phase5a",implemented,"The /trks checksum matches Phase 5A and all prohibited execution flags remain false; legacy repository read-only conduct remains a separate manual check"
"Phase 5B outputs have a machine-readable summary report and verified artifact checksums","data/manifests/eligibility_decision_support_summary.json; data/manifests/eligibility_decision_support_artifact_checksums.json; docs/decision_support_report.md","Summary root; artifact checksum inventory; report boundaries","EligibilityDecisionSupportArtifactTests.test_report_boundaries_and_artifact_checksums",implemented,"Checksums cover the report summary source snapshot failure log relevant-name table and full case-level presence table"
"Phase 5C uses exactly the unfrozen 3219-case adult exact-General exact-primary universe","data/manifests/volatile_signal_case_manifest.csv; data/manifests/volatile_signal_characterization_summary.json","analysis_universe; 3219 case rows","VolatileCharacterizationArtifactTests.test_analysis_universe_recomputes_to_exactly_3219_without_freeze",implemented,"The test independently recomputes the universe from the complete Phase 5A manifest; final eligibility and legacy overlap remain pending"
"Phase 5C requests only the seven authorized exact volatile tracks","scripts/run_volatile_characterization.py; src/vitaldb_state_selection/cohort/volatile_characterization.py; data/manifests/volatile_signal_source_snapshot.json","VOLATILE_TRACKS; allowed_exact_track_names; other_raw_track_requests","VolatileCharacterizationTests.test_allowed_signal_scope_is_exactly_the_seven_requested_tracks",implemented,"BIS propofol remifentanil CP CE and VOL signals are outside the executable allowlist"
"A fixed-seed presence-stratified preflight must pass the operational and two-times disk-space gates before full characterization","data/manifests/volatile_signal_preflight_summary.json; docs/volatile_signal_preflight_report.md","seed 20260720; strata estimates; full_download_authorized_by_gate","VolatileCharacterizationArtifactTests.test_preflight_is_fixed_seed_stratified_and_passes_two_x_disk_gate",implemented,"Twenty cases cover all ten exact presence combinations; the gate uses measured bytes and request time without making a scientific inference"
"All 3219 cases and all seven exact tracks have explicit rows including absence empty parsing and API failures","data/manifests/volatile_signal_case_manifest.csv; data/manifests/volatile_signal_track_manifest.csv; data/manifests/volatile_signal_failures.jsonl","3219 case rows; 22533 case-track rows; download_status and failure fields","VolatileCharacterizationArtifactTests.test_case_track_matrix_is_complete_exact_and_failure_explicit",implemented,"The completed run had 9059 complete downloads and 13474 explicit track-absent rows; the failure log is retained and empty because no download or parsing failure occurred"
"Volatile summaries use original timestamps without resampling interpolation smoothing clipping or abnormal-value deletion","src/vitaldb_state_selection/cohort/volatile_characterization.py; data/manifests/volatile_signal_track_manifest.csv; data/manifests/volatile_signal_characterization_summary.json","parse_signal_payload; processing","VolatileCharacterizationTests.test_parser_uses_original_rows_without_resampling_or_clipping",implemented,"Warning flags are stored separately; positive runs follow consecutive recorded observations rather than an invented sampling grid"
"Raw volatile downloads are atomic resumable checksum-verified and never committed","src/vitaldb_state_selection/cohort/volatile_characterization.py; .gitignore; data/manifests/volatile_signal_track_manifest.csv","download_one_task; load_verified_metadata; data/raw ignore","VolatileCharacterizationArtifactTests.test_every_downloaded_raw_file_matches_manifest_checksum_and_no_partials_remain",implemented,"All 9059 signal payloads are rehashed from the ignored raw root; a separate artifact test verifies Git tracks no data/raw file"
"Phase 5C reports distributions combinations boundary samples and unselected exposure-definition counts outcome-blind","data/manifests/volatile_signal_characterization_summary.json; docs/volatile_signal_decision_support_report.md","track_summaries; presence and positive-recording combinations; manual_review_boundary_samples; possible_exposure_definition_counts","VolatileCharacterizationArtifactTests.test_summary_recomputes_track_and_candidate_definition_counts",implemented,"Track presence and value greater than zero are descriptive observations only; selected_exposure_definition remains null"
"Official volatile track descriptions and documentary units do not become final alias or unit approvals","src/vitaldb_state_selection/cohort/volatile_characterization.py; data/manifests/volatile_signal_source_snapshot.json; configs/track_aliases.yaml","VOLATILE_TRACKS; official_track_documentation; approval_status","VolatileCharacterizationArtifactTests.test_source_scope_contains_only_allowed_raw_tracks_and_no_downstream_work",implemented,"The test verifies pending_human_review and unchanged versioned configuration; it does not claim to automate human validation of the external primary source"
"Phase 5C does not access legacy 98 IDs freeze a cohort or execute downstream research","data/manifests/volatile_signal_source_snapshot.json; data/manifests/volatile_signal_case_manifest.csv; PHASE_STATUS.md","scope; prohibited_execution; pending decisions","VolatileCharacterizationArtifactTests.test_source_scope_contains_only_allowed_raw_tracks_and_no_downstream_work",implemented,"Legacy repository read-only conduct is also checked manually against its preserved commit tree and pre-existing status"
"Protocol v1.1 fixes the primary pre-quality universe and reuses the Phase 5D 10-second method without changing it","docs/protocol_v1_1_decision_record.md; src/vitaldb_state_selection/cohort/primary_acquisition.py; data/manifests/pre_quality_acquisition_cohort.csv","Metadata universe; Primary volatile exclusion; build_pre_quality_manifest","PrimaryAcquisitionArtifactTests.test_pre_quality_cohort_accounts_for_3219_once_and_preserves_reasons",implemented,"All 3219 cases appear once; 674 volatile exclusions and case 4476 invalid-window exclusion are separate flags and multiple reasons are preserved"
"Legacy overlap uses only the exact actual-use 98 case IDs and preserves read-only provenance","data/manifests/primary_signal_source_snapshot.json; data/manifests/pre_quality_acquisition_cohort.csv","legacy_overlap_provenance; legacy_98_overlap","PrimaryAcquisitionArtifactTests.test_legacy_provenance_is_minimal_exact_and_read_only",implemented,"The three caseid-only artifacts total 98 unique IDs; split labels results metrics and first-100 recomputation are explicitly false; external read-only conduct is recorded as before/after evidence"
"The Phase 6A preflight is a fixed-seed random 25-case sample and gates full acquisition on structure and two-times disk space","data/manifests/primary_signal_preflight_summary.json; docs/primary_signal_preflight_report.md","selection_method; disk and operational gates","PrimaryAcquisitionArtifactTests.test_preflight_is_fixed_random_25_and_passes_both_gates",implemented,"All 100 present sample requests completed and both gates passed; the sample is not the first 25 included cases"
"Primary acquisition requests exactly four approved tracks for every included case and keeps BIS/SQI QC-only","src/vitaldb_state_selection/cohort/primary_acquisition.py; data/manifests/primary_signal_download_manifest.csv; configs/track_aliases.yaml","PRIMARY_TRACKS; case-track rows; qc_only_exact_tracks","PrimaryAcquisitionArtifactTests.test_download_matrix_is_complete_exact_and_sqi_is_qc_only",implemented,"2470 included cases have 9880 unique rows; BIS/SQI is prohibited as prediction feature and PPO state; RFTN50 is not merged or used"
"Phase 6A raw files are atomic resumable checksum-verified partial-free and excluded from Git","src/vitaldb_state_selection/cohort/primary_acquisition.py; data/manifests/primary_signal_checksum_manifest.csv; .gitignore","download_one_task; load_verified_metadata; checksum manifest; data/raw ignore","PrimaryAcquisitionArtifactTests.test_every_raw_signal_checksum_matches_and_no_partial_exists",implemented,"All 9880 raw signals totaling 2658264378 bytes were independently rehashed and no partial file remains"
"Phase 6A selects no signal-quality rule and executes no split model feature Cp/Ce dose or PPO step","data/manifests/primary_signal_source_snapshot.json; data/manifests/primary_signal_acquisition_summary.json; docs/primary_signal_acquisition_report.md","prohibited_execution; pre_quality_only; quality_threshold_selected","PrimaryAcquisitionArtifactTests.test_raw_is_not_tracked_and_scope_has_no_downstream_execution",implemented,"The automated check verifies recorded execution flags and raw Git exclusion; it does not claim a scientific quality decision"
"Phase 6A reports manifests failures checksums source snapshot and acquisition summaries with verified artifact hashes","data/manifests/primary_signal_artifact_checksums.json; docs/primary_signal_acquisition_report.md","artifact checksum inventory and report accounting","PrimaryAcquisitionArtifactTests.test_published_artifact_checksums_match",implemented,"Failure log is retained and empty because all approved requests completed successfully"
"Phase 6B reads exactly the 2470 Phase 6A cases and four exact tracks with 9880 complete rows","data/manifests/primary_signal_quality_case_manifest.csv; data/manifests/primary_signal_quality_track_manifest.csv","case and case-track accounting","PrimarySignalQualityArtifactTests.test_case_and_track_manifests_have_complete_exact_accounting",implemented,"Case and case-track keys are unique and complete; final eligibility remains pending and the cohort is not frozen"
"Phase 6B verifies every Phase 6A raw checksum before and after analysis without modifying the raw tree","data/manifests/primary_signal_quality_source_snapshot.json; data/manifests/primary_signal_quality_track_manifest.csv","raw_checksum_before and after; checksum_status","PrimarySignalQualityArtifactTests.test_every_source_raw_checksum_still_matches_phase6a_manifest",implemented,"All 9880 raw payloads totaling 2658264378 bytes match Phase 6A; file count size fingerprint and partial count are unchanged"
"Phase 6B preserves original rows and separates full-recording from anesthesia-window measures","src/vitaldb_state_selection/cohort/primary_signal_quality.py; data/manifests/primary_signal_quality_track_manifest.csv","characterize_track; processing flags and window accounting","PrimarySignalQualityArtifactTests.test_original_rows_are_not_transformed_and_full_window_scopes_are_separate",implemented,"No sorting duplicate deletion interpolation resampling smoothing clipping or fill is performed"
"Common observed span is not claimed as continuous coverage and BIS/SQI remains exact-timestamp QC-only","data/manifests/primary_signal_quality_case_manifest.csv; data/manifests/primary_signal_quality_source_snapshot.json","common_span_is_continuous_coverage; bis_sqi_role","PrimarySignalQualityArtifactTests.test_bis_sqi_is_exact_timestamp_qc_only_and_common_span_is_not_coverage",implemented,"No nearest-neighbor SQI alignment is used and SQI is not a prediction feature or PPO state"
"All requested marginal quality thresholds are compared independently without selecting a rule","data/manifests/primary_signal_quality_marginal_sensitivity.csv; data/manifests/primary_signal_quality_summary.json","60 marginal sensitivity rows; selected_quality_threshold","PrimarySignalQualityArtifactTests.test_marginal_sensitivity_is_complete_independent_and_unselected",implemented,"Pass fail and missing-measure counts balance to 2470; event-style gap caveats are retained"
"Permissive moderate and strict scenarios report overlapping reasons and pairwise disagreement without recommendation","data/manifests/primary_signal_quality_scenario_sensitivity.csv; data/manifests/primary_signal_quality_scenario_disagreement.csv","scenario results and 3 by 3 matrix","PrimarySignalQualityArtifactTests.test_scenarios_recompute_balance_and_pairwise_disagreement",implemented,"Scenario pass counts are descriptive only and selected_scenario remains null"
"Boundary review uses fixed seed 20260720 with at most five cases per category and does not change inclusion","data/manifests/primary_signal_quality_boundary_review.csv","seed and automatic_inclusion_or_exclusion","PrimarySignalQualityArtifactTests.test_boundary_samples_are_fixed_seed_bounded_and_never_decisions",implemented,"Category population counts are preserved separately from the bounded sample"
"Phase 6B makes zero API requests creates zero raw files and executes no downstream research","scripts/run_primary_signal_quality_characterization.py; data/manifests/primary_signal_quality_source_snapshot.json; data/manifests/primary_signal_quality_summary.json","api_request_count; execution_flags; prohibited_execution","PrimarySignalQualityArtifactTests.test_source_scope_has_no_network_or_downstream_execution",implemented,"No network client exists in the entry point; volatile raw and legacy artifacts are not accessed; raw remains outside Git"
"Phase 6B publishes machine-readable manifests summaries tables source snapshot report and verified artifact hashes","data/manifests/primary_signal_quality_artifact_checksums.json; docs/primary_signal_quality_characterization_report.md","nine-artifact checksum inventory; facts and interpretation boundary","PrimarySignalQualityArtifactTests.test_report_and_all_artifact_checksums_match",implemented,"The report separates observed facts from future Protocol v1.2 interpretation and selects no rule"
"Phase 6C uses exactly 2470 Phase 6A cases and all 60 SQI by BIS-staleness by drug-hold combinations","data/manifests/causal_grid_feasibility_case_candidate_manifest.csv.gz; data/manifests/causal_grid_candidate_summary.csv","148200 unique case-candidate rows and 60 aggregate rows","CausalGridFeasibilityArtifactTests.test_exact_2470_by_60_case_candidate_accounting",implemented,"Every candidate accounts for all 2470 cases; no preprocessing candidate is selected"
"Phase 6C causal alignment never uses a future observation or joins cases and keeps SQI outside the feature universe","src/vitaldb_state_selection/cohort/causal_grid_feasibility.py; data/manifests/causal_grid_feasibility_source_snapshot.json","align_bis; align_drug; causality_checks; sqi_in_prediction_feature_universe","CausalGridFeasibilityArtifactTests.test_causal_case_and_non_modeling_invariants_hold_for_every_row",implemented,"BIS 0 through 100 includes 0 through 10; required SQI is exact-timestamp QC only; no nearest future or cross-case lookup occurs"
"Phase 6C preserves raw rows and explicitly tracks duplicate zero and negative timestamp warnings","src/vitaldb_state_selection/cohort/causal_grid_feasibility.py; data/manifests/causal_grid_feasibility_case_candidate_manifest.csv.gz","parse_observation_index; duplicate and interval fields","CausalGridFeasibilityTests.test_raw_parser_preserves_last_finite_duplicate_and_interval_warnings",implemented,"The chronological lookup index does not rewrite raw order; duplicated timestamps use the last finite value in original row order and are never deleted or averaged"
"All candidate window counts and overlapping failure reasons recompute from the complete case-candidate manifest","data/manifests/causal_grid_candidate_summary.csv; data/manifests/causal_grid_feasibility_case_candidate_manifest.csv.gz","60 candidate aggregates","CausalGridFeasibilityArtifactTests.test_candidate_aggregates_recompute_from_case_rows",implemented,"All aggregate counts use 2470 case rows and no candidate is selected"
"The Phase 6C pairwise disagreement matrix is complete and symmetric","data/manifests/causal_grid_candidate_disagreement.csv","60 by 60 at-least-one-window matrix","CausalGridFeasibilityArtifactTests.test_pairwise_candidate_disagreement_matrix_is_symmetric",implemented,"Diagonal disagreement is zero and this descriptive classification does not select a candidate"
"All five minimum-window sensitivities are complete balanced and unselected","data/manifests/causal_grid_minimum_window_sensitivity.csv","300 candidate-threshold rows","CausalGridFeasibilityArtifactTests.test_minimum_window_sensitivity_is_complete_balanced_and_unselected",implemented,"Approximate minute labels are explicitly not continuous-duration claims; no minimum count is selected"
"Phase 6C compares actual usable-window feasibility with all Phase 6B scenarios without outcome access","data/manifests/causal_grid_phase6b_scenario_disagreement.csv","900 scenario-candidate-minimum comparisons and BIS 10-100 reason counts","CausalGridFeasibilityArtifactTests.test_phase6b_scenario_disagreement_has_all_900_comparisons",implemented,"Scenario pass and fail disagreements balance to 2470 and remain decision support only"
"Phase 6C audits exact demographic source values and basic PK-input feasibility without clinical cutoffs or PK computation","data/manifests/causal_grid_demographics_pk_input_feasibility.csv; data/manifests/causal_grid_feasibility_summary.json","2470 demographic rows; variables and flag_counts","CausalGridFeasibilityArtifactTests.test_drug_alignment_and_demographics_are_descriptive_only",implemented,"Age sex height and weight are reported without patient exclusion; PK parameters lean body mass and Cp/Ce are not computed"
"Phase 6C synthetic case processing has a bounded-memory regression test","tests/test_causal_grid_feasibility.py","test_synthetic_case_processing_has_bounded_peak_memory","CausalGridFeasibilityTests.test_synthetic_case_processing_has_bounded_peak_memory",implemented,"The synthetic test repeatedly releases case outputs and rejects a peak above 32 MiB"
"Phase 6C production uses bounded per-case memory and atomic manifest output","scripts/run_causal_grid_feasibility_audit.py; data/manifests/causal_grid_feasibility_source_snapshot.json","case-level release; AtomicGzipCsv; peak_rss_bytes","CausalGridFeasibilityArtifactTests.test_source_checksums_raw_tree_memory_and_legacy_state_are_verified",implemented,"Production peak RSS was 221642752 bytes below the engineering-only 2 GiB abort guard; the initial pre-analysis Windows RSS probe failure left no official artifact"
